(3.875, 1.55, 1.91, 1.31, 1.67, 0.668, 1.16, 0.34, 177.0, 70.8, 72.0, 69.0, 319.0, 127.6, 130.0, 124.0, 46.0, 18.4, 28.0, 12.0, 95.155, 38.062, 58.69, 24.31, 8.5, 3.4, 4.0, 3.0, 13.0, 5.2, 10.0, 2.0, 366.5, 146.6, 149.0, 145.0, 323.0, 129.2, 132.0, 125.0, 3.875, 1.55, 1.91, 1.31, 5.0, 2.0, 2.0, 2.0, 19.109, 7.644, 7.646, 7.64, 14.9, 5.96, 6.8, 5.4, 11.51, 4.604, 8.9, 1.74, 4822.5, 1929.0, 3186.0, 1091.0, 3112.5, 1245.0, 1728.0, 923.0, 1.97, 0.788, 1.02, 0.44, 30.2, 12.08, 17.48, 8.48, 569.0, 227.6, 377.0, 128.0, 324.9, 129.96, 156.0, 90.9, 6.66, 2.664, 4.44, 1.48) 2.6


(4.202, 1.528, 1.91, 1.31, 1.755, 0.638, 1.16, 0.34, 195.0, 70.909, 72.0, 69.0, 351.5, 127.818, 130.0, 124.0, 49.0, 17.818, 28.0, 12.0, 101.232, 36.812, 58.69, 24.31, 9.25, 3.364, 4.0, 3.0, 13.5, 4.909, 10.0, 2.0, 402.75, 146.455, 149.0, 145.0, 356.0, 129.455, 132.0, 125.0, 4.202, 1.528, 1.91, 1.31, 5.5, 2.0, 2.0, 2.0, 21.021, 7.644, 7.646, 7.64, 16.25, 5.909, 6.8, 5.4, 11.945, 4.344, 8.9, 1.74, 5095.25, 1852.818, 3186.0, 1091.0, 3343.25, 1215.727, 1728.0, 923.0, 2.225, 0.809, 1.02, 0.44, 32.32, 11.753, 17.48, 8.48, 601.0, 218.545, 377.0, 128.0, 363.9, 132.327, 156.0, 90.9, 7.03, 2.556, 4.44, 1.48) 2.8


(4.554, 1.518, 1.91, 1.31, 1.847, 0.616, 1.16, 0.34, 211.24, 70.413, 72.0, 50.0, 383.28, 127.76, 130.0, 121.0, 52.08, 17.36, 28.0, 12.0, 107.524, 35.841, 58.69, 24.31, 10.0, 3.333, 4.0, 3.0, 14.88, 4.96, 13.0, 2.0, 438.84, 146.28, 149.0, 143.0, 389.32, 129.773, 136.0, 125.0, 4.554, 1.518, 1.91, 1.31, 6.08, 2.027, 3.0, 2.0, 22.799, 7.6, 7.646, 5.986, 17.936, 5.979, 9.6, 5.4, 12.457, 4.152, 8.9, 1.74, 5500.16, 1833.387, 3186.0, 1091.0, 3574.8, 1191.6, 1728.0, 923.0, 2.47, 0.823, 1.02, 0.44, 34.625, 11.542, 17.48, 8.48, 646.28, 215.427, 377.0, 128.0, 409.38, 136.46, 237.0, 90.9, 7.553, 2.518, 4.44, 1.48) 3.5


(4.553, 1.518, 1.91, 1.31, 1.814, 0.605, 1.16, 0.08, 213.2, 71.067, 74.0, 69.0, 385.0, 128.333, 140.0, 124.0, 53.0, 17.667, 28.0, 12.0, 109.666, 36.555, 58.69, 24.31, 10.1, 3.367, 4.0, 3.0, 14.2, 4.733, 10.0, 2.0, 439.2, 146.4, 149.0, 145.0, 389.8, 129.933, 140.0, 125.0, 4.553, 1.518, 1.91, 1.31, 6.2, 2.067, 4.0, 2.0, 22.85, 7.617, 7.646, 6.828, 18.06, 6.02, 10.0, 5.4, 12.66, 4.22, 8.9, 1.74, 5614.9, 1871.633, 3560.0, 1091.0, 3675.8, 1225.267, 1941.0, 923.0, 2.43, 0.81, 1.02, 0.44, 35.007, 11.669, 17.48, 8.48, 662.7, 220.9, 425.0, 128.0, 389.49, 129.83, 156.0, 21.9, 7.737, 2.579, 4.85, 1.48) 2.9


(4.5, 1.5, 1.88, 1.31, 1.68, 0.56, 1.0, 0.34, 218.0, 72.667, 74.0, 72.0, 386.0, 128.667, 130.0, 126.0, 51.0, 17.0, 27.0, 12.0, 107.55, 35.85, 58.93, 24.31, 10.0, 3.333, 4.0, 3.0, 13.0, 4.333, 9.0, 2.0, 442.0, 147.333, 152.0, 145.0, 390.0, 130.0, 132.0, 126.0, 4.5, 1.5, 1.88, 1.31, 6.0, 2.0, 2.0, 2.0, 23.172, 7.724, 7.88, 7.646, 18.0, 6.0, 7.2, 5.4, 12.38, 4.127, 8.9, 1.74, 5382.0, 1794.0, 3200.0, 1091.0, 3614.0, 1204.667, 1768.0, 923.0, 2.46, 0.82, 1.02, 0.42, 32.44, 10.813, 15.48, 8.48, 632.0, 210.667, 376.0, 128.0, 412.0, 137.333, 156.0, 100.0, 7.35, 2.45, 4.39, 1.48) 4.5


(4.5, 1.5, 1.88, 1.31, 1.68, 0.56, 1.0, 0.34, 218.0, 72.667, 74.0, 72.0, 386.0, 128.667, 130.0, 126.0, 51.0, 17.0, 27.0, 12.0, 107.55, 35.85, 58.93, 24.31, 10.0, 3.333, 4.0, 3.0, 13.0, 4.333, 9.0, 2.0, 442.0, 147.333, 152.0, 145.0, 390.0, 130.0, 132.0, 126.0, 4.5, 1.5, 1.88, 1.31, 6.0, 2.0, 2.0, 2.0, 23.172, 7.724, 7.88, 7.646, 18.0, 6.0, 7.2, 5.4, 12.38, 4.127, 8.9, 1.74, 5382.0, 1794.0, 3200.0, 1091.0, 3614.0, 1204.667, 1768.0, 923.0, 2.46, 0.82, 1.02, 0.42, 32.44, 10.813, 15.48, 8.48, 632.0, 210.667, 376.0, 128.0, 412.0, 137.333, 156.0, 100.0, 7.35, 2.45, 4.39, 1.48) 4.2


(4.52, 1.507, 1.9, 1.31, 1.92, 0.64, 1.24, 0.34, 221.0, 73.667, 77.0, 72.0, 392.0, 130.667, 132.0, 130.0, 53.0, 17.667, 29.0, 12.0, 112.17, 37.39, 63.55, 24.31, 10.0, 3.333, 4.0, 3.0, 15.0, 5.0, 11.0, 2.0, 425.0, 141.667, 145.0, 135.0, 392.0, 130.667, 132.0, 128.0, 4.52, 1.507, 1.9, 1.31, 5.0, 1.667, 2.0, 1.0, 23.019, 7.673, 7.726, 7.646, 17.0, 5.667, 6.2, 5.4, 12.44, 4.147, 8.96, 1.74, 5017.0, 1672.333, 2835.0, 1091.0, 3203.0, 1067.667, 1357.0, 923.0, 2.43, 0.81, 1.02, 0.39, 30.22, 10.073, 13.26, 8.48, 556.0, 185.333, 300.0, 128.0, 713.0, 237.667, 401.0, 156.0, 6.45, 2.15, 3.49, 1.48) 2.6


